,Top,Título,Año,Duración,Puntuación
169,170,Robot salvaje,2024,1h 42m,"8,2"
170,171,El puente sobre el río Kwai,1957,2h 41m,"8,1"
171,172,Trainspotting,1996,1h 33m,"8,1"
172,173,Atrápame si puedes,2002,2h 21m,"8,1"
173,174,Toro salvaje,1980,2h 9m,"8,1"
174,175,Fargo,1996,1h 38m,"8,1"
175,176,Warrior,2011,2h 20m,"8,1"
176,177,Aún estoy aquí,2024,2h 17m,"8,4"
177,178,Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,"8,1"
178,179,Gran Torino,2008,1h 56m,"8,1"
179,180,Million Dollar Baby,2004,2h 12m,"8,1"
180,181,Mi vecino Totoro,1988,1h 26m,"8,1"
181,182,Mad Max: Furia en la carretera,2015,2h,"8,1"
182,183,Spider-Man: No Way Home,2021,2h 28m,"8,2"
183,184,Ben-Hur,1959,3h 32m,"8,1"
184,185,Children of Heaven,1997,1h 29m,"8,2"
185,186,Barry Lyndon,1975,3h 5m,"8,1"
186,187,12 años de esclavitud,2013,2h 14m,"8,1"
187,188,Antes de amanecer,1995,1h 41m,"8,1"
188,189,El club de los poetas muertos,1989,2h 8m,"8,1"
189,190,Blade Runner,1982,1h 57m,"8,1"
190,191,El gran hotel Budapest,2014,1h 39m,"8,1"
191,192,Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,"8,1"
192,193,Perdida,2014,2h 29m,"8,1"
193,194,Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,"8,1"
194,195,En el nombre del padre,1993,2h 13m,"8,1"
195,196,"Monstruos, S.A.",2001,1h 32m,"8,1"
196,197,Ratatouille,2007,1h 51m,"8,1"
197,198,La quimera del oro,1925,1h 35m,"8,1"
198,199,Relatos salvajes,2014,2h 2m,"8,1"
199,200,How to Train Your Dragon,2010,1h 38m,"8,1"
200,201,El moderno Sherlock Holmes,1924,45m,"8,2"
201,202,Tiburón,1975,2h 4m,"8,1"
202,203,Mary and Max,2009,1h 32m,"8,1"
203,204,El cazador,1978,3h 3m,"8,1"
204,205,El maquinista de La General,1926,1h 18m,"8,1"
205,206,Le Mans '66,2019,2h 32m,"8,1"
206,207,El salario del miedo,1953,2h 36m,"8,1"
207,208,La ley del silencio,1954,1h 48m,"8,1"
208,209,Caballero sin espada,1939,2h 9m,"8,1"
209,210,Fresas salvajes,1957,1h 32m,"8,1"
210,211,Logan,2017,2h 17m,"8,1"
211,212,El tercer hombre,1949,1h 44m,"8,1"
212,213,Rocky,1976,2h,"8,1"
213,214,Cuentos de Tokio,1953,2h 17m,"8,1"
214,215,Maharaja,2024,2h 21m,"8,4"
215,216,El gran Lebowski,1998,1h 57m,"8,1"
216,217,Spotlight,2015,2h 9m,"8,1"
217,218,Terminator,1984,1h 47m,"8,1"
218,219,El séptimo sello,1957,1h 36m,"8,1"
219,220,La habitación,2015,1h 58m,"8,1"
220,221,Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,"8,1"
221,222,El odio,1995,1h 38m,"8,1"
222,223,Jai Bhim,2021,2h 44m,"8,7"
223,224,Hotel Rwanda,2004,2h 1m,"8,1"
224,225,Platoon,1986,2h,"8,1"
225,226,Los mejores años de nuestra vida,1946,2h 50m,"8,1"
226,227,Antes del atardecer,2004,1h 20m,"8,1"
227,228,El exorcista,1973,2h 2m,"8,1"
228,229,La pasión de Juana de Arco,1928,1h 50m,"8,1"
229,230,El mago de Oz,1939,1h 42m,"8,1"
230,231,Los Increíbles,2004,1h 55m,"8,0"
231,232,Sonrisas y lágrimas,1965,2h 52m,"8,1"
232,233,Rush,2013,2h 3m,"8,1"
233,234,Siempre a tu lado (Hachiko),2009,1h 33m,"8,1"
234,235,Cuenta conmigo,1986,1h 29m,"8,1"
235,236,"Network, un mundo implacable",1976,2h 1m,"8,1"
236,237,Mi padre y mi hijo,2005,1h 52m,"8,2"
237,238,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,1h 27m,"8,5"
238,239,La doncella,2016,2h 25m,"8,1"
239,240,El gigante de hierro,1999,1h 26m,"8,1"
240,241,Ser o no ser,1942,1h 39m,"8,1"
241,242,La batalla de Argel,1966,2h 1m,"8,1"
242,243,Hacia rutas salvajes,2007,2h 28m,"8,1"
243,244,Las uvas de la ira,1940,2h 9m,"8,1"
244,245,Atrapado en el tiempo,1993,1h 41m,"8,0"
245,246,A Silent Voice,2016,2h 10m,"8,1"
246,247,Criadas y señoras,2011,2h 26m,"8,1"
247,248,Amores perros,2000,2h 34m,"8,0"
248,249,Rebeca,1940,2h 10m,"8,1"
249,250,Drishyam,2015,2h 43m,"8,2"
